

AU-01

| Field | Value |
|---|---|
| Use Case ID | AU-01 |
| Use Case Name | Login / Register / Account Verification |
| Primary Actor(s) | Any user (Donor; Volunteer; Beneficiary; Charity Admin; System Admin) |
| Secondary Actor(s) | Web App UI; Notification Service |
| Description | Create or authenticate an account and verify contact (email/SMS). |
| Trigger | User selects register or login. |
| Preconditions | Registration and verification channels available. |
| Postconditions | User authenticated; verified status set if completed. |
| Basic Flow | User submits credentials; system validates; on registration system sends verification; user confirms; account activated. |
| Alternative Flows | Social login; guest browsing for public pages. |
| Exception Flows | Duplicate email; verification not completed → account unverified. |
| Business Rules | Unique email; verification required for certain actions. |
| Special Requirements | Secure password storage; rate limiting; CAPTCHA. |
| Assumptions | Notification channels operational. |
| Frequency of Use | High |

DN-01

| Field | Value |
|---|---|
| Use Case ID | DN-01 |
| Use Case Name | Browse / Search Campaigns |
| Primary Actor(s) | Donor; Volunteer; Beneficiary |
| Secondary Actor(s) | Web App UI |
| Description | Discover campaigns via listing, search, and filters. |
| Trigger | User opens campaigns page or uses search. |
| Preconditions | Campaigns published or available for public view. |
| Postconditions | Filtered campaign list displayed; user may select campaign. |
| Basic Flow | System shows list; user applies filters/search; system returns results; user views details. |
| Alternative Flows | Sort results; bookmark campaign (optional). |
| Exception Flows | No campaigns → show "no campaigns" message. |
| Business Rules | Only visible campaigns shown per visibility rules. |
| Special Requirements | Fast response; pagination. |
| Assumptions | Campaign metadata present. |
| Frequency of Use | High |

DN-02

| Field | Value |
|---|---|
| Use Case ID | DN-02 |
| Use Case Name | Make Donation (includes payment selection) |
| Primary Actor(s) | Donor |
| Secondary Actor(s) | Payment Gateway; Web App UI; Notification Service |
| Description | Donor submits payment to support a campaign. |
| Trigger | Donor clicks "Donate" on campaign page. |
| Preconditions | Donor authenticated (or guest flow allowed); campaign accepts donations. |
| Postconditions | Donation recorded; payment result stored; donor shown confirmation. |
| Basic Flow | Donor selects amount and method; system calls PM-01; on success record donation and show confirmation. |
| Alternative Flows | Use saved payment method; anonymous donation if allowed. |
| Exception Flows | Payment failure → show error and allow retry. |
| Business Rules | Record donation only after payment confirmation. |
| Special Requirements | PCI compliance; secure transmission. |
| Assumptions | Payment gateway available. |
| Frequency of Use | High |

PM-01

| Field | Value |
|---|---|
| Use Case ID | PM-01 |
| Use Case Name | Process Payment |
| Primary Actor(s) | System (on behalf of Donor) |
| Secondary Actor(s) | Payment Gateway |
| Description | Execute payment transaction with external gateway and return result. |
| Trigger | DN-02 invokes payment processing. |
| Preconditions | Payment method selected; gateway configured. |
| Postconditions | Transaction ID and status recorded. |
| Basic Flow | System sends payment request to gateway; gateway returns success/failure; system records result. |
| Alternative Flows | 3DS authentication; tokenized payment. |
| Exception Flows | Gateway timeout → retry or surface error. |
| Business Rules | Idempotency to avoid duplicate charges. |
| Special Requirements | Secure logging of transaction IDs; PCI compliance. |
| Assumptions | Gateway supports required methods. |
| Frequency of Use | High |

DN-03

| Field | Value |
|---|---|
| Use Case ID | DN-03 |
| Use Case Name | Track Donation / View History |
| Primary Actor(s) | Donor |
| Secondary Actor(s) | Web App UI |
| Description | View past donations, statuses, and receipts (receipt as postcondition). |
| Trigger | Donor opens donation history page. |
| Preconditions | Donor authenticated; donation records exist. |
| Postconditions | Donation list displayed with statuses and links to receipts. |
| Basic Flow | System retrieves donor donations; displays list with details. |
| Alternative Flows | Filter by date/campaign; export summary (optional). |
| Exception Flows | Data retrieval error → show message. |
| Business Rules | Donor sees only own donations. |
| Special Requirements | Pagination; secure access. |
| Assumptions | Historical data retained per policy. |
| Frequency of Use | Medium |

DN-04

| Field | Value |
|---|---|
| Use Case ID | DN-04 |
| Use Case Name | Manage Profile (Donor) |
| Primary Actor(s) | Donor |
| Secondary Actor(s) | Web App UI |
| Description | Update contact and payment preferences. |
| Trigger | Donor opens profile settings. |
| Preconditions | Donor authenticated. |
| Postconditions | Profile updated and audited. |
| Basic Flow | Donor edits fields; system validates and saves. |
| Alternative Flows | Add payment token; change contact info. |
| Exception Flows | Validation errors → show field errors. |
| Business Rules | Changes audited. |
| Special Requirements | Sensitive data encrypted at rest. |
| Assumptions | Donor has permission to change data. |
| Frequency of Use | Low–Medium |

DN-08

| Field | Value |
|---|---|
| Use Case ID | DN-08 |
| Use Case Name | Subscribe to Updates |
| Primary Actor(s) | Donor |
| Secondary Actor(s) | Notification Service; Web App UI |
| Description | Opt in to campaign updates and alerts. |
| Trigger | Donor selects subscribe on campaign or settings. |
| Preconditions | Contact method provided or donor authenticated. |
| Postconditions | Donor added to subscription list. |
| Basic Flow | Donor opts in; system records preference; notifications sent per schedule. |
| Alternative Flows | Unsubscribe; change channels. |
| Exception Flows | Delivery failure → retry and show in‑app status. |
| Business Rules | Honor unsubscribe promptly. |
| Special Requirements | Consent logging for compliance. |
| Assumptions | Notification channels configured. |
| Frequency of Use | Medium |

VL-01

| Field | Value |
|---|---|
| Use Case ID | VL-01 |
| Use Case Name | Register as Volunteer (includes profile) |
| Primary Actor(s) | Volunteer |
| Secondary Actor(s) | Web App UI |
| Description | Create volunteer account and profile (skills, availability). |
| Trigger | User selects register as volunteer. |
| Preconditions | Registration service available. |
| Postconditions | Volunteer account and profile created. |
| Basic Flow | Volunteer completes registration; optionally fills profile; system saves. |
| Alternative Flows | Social login; save draft profile. |
| Exception Flows | Duplicate account → show error. |
| Business Rules | Unique email; consent to share profile with org. |
| Special Requirements | CAPTCHA; profile searchable by admins. |
| Assumptions | Volunteer has valid contact info. |
| Frequency of Use | Medium |

VL-02

| Field | Value |
|---|---|
| Use Case ID | VL-02 |
| Use Case Name | Sign Up for Event |
| Primary Actor(s) | Volunteer |
| Secondary Actor(s) | Web App UI |
| Description | Enroll in a volunteer shift or event. |
| Trigger | Volunteer clicks sign up for an event. |
| Preconditions | Volunteer authenticated; event has open slots. |
| Postconditions | Volunteer assigned to shift; schedule updated. |
| Basic Flow | Volunteer selects shift; system confirms availability; assigns and notifies. |
| Alternative Flows | Waitlist if full. |
| Exception Flows | Race condition → show conflict. |
| Business Rules | One volunteer per slot; eligibility checks. |
| Special Requirements | Immediate confirmation. |
| Assumptions | Volunteer meets requirements. |
| Frequency of Use | Medium |

VL-03

| Field | Value |
|---|---|
| Use Case ID | VL-03 |
| Use Case Name | View Volunteer Schedule |
| Primary Actor(s) | Volunteer |
| Secondary Actor(s) | Web App UI |
| Description | See assigned and upcoming shifts. |
| Trigger | Volunteer opens schedule page. |
| Preconditions | Volunteer has assignments. |
| Postconditions | Schedule displayed. |
| Basic Flow | System retrieves assignments; displays calendar/list. |
| Alternative Flows | Filter by date; export schedule. |
| Exception Flows | Data retrieval error → show message. |
| Business Rules | Only assigned shifts shown. |
| Special Requirements | Calendar sync optional. |
| Assumptions | Assignments stored in system. |
| Frequency of Use | Medium |


CA-01

| Field | Value |
|---|---|
| Use Case ID | CA-01 |
| Use Case Name | Create Edit Delete Publish Campaign |
| Primary Actor(s) | Charity Admin |
| Secondary Actor(s) | Web App UI; File Storage; Notification Service |
| Description | Full lifecycle of campaign management including media and publishing. |
| Trigger | Admin selects create or edit campaign. |
| Preconditions | Admin authenticated with rights. |
| Postconditions | Campaign saved as draft or published per action. |
| Basic Flow | Admin enters details; uploads media; sets goals; saves or publishes; system validates and stores. |
| Alternative Flows | Save as draft; schedule publish; archive/delete. |
| Exception Flows | Validation errors; active donations block deletion. |
| Business Rules | Required fields; audit trail; retention of financial records. |
| Special Requirements | Media stored in File Storage; scheduled publishing support. |
| Assumptions | Admin has permissions. |
| Frequency of Use | Medium |

CA-03

| Field | Value |
|---|---|
| Use Case ID | CA-03 |
| Use Case Name | Manage Volunteers Assign to Events |
| Primary Actor(s) | Charity Admin |
| Secondary Actor(s) | Web App UI |
| Description | Approve volunteers and assign them to events/shifts. |
| Trigger | Admin opens volunteer management console. |
| Preconditions | Volunteer profiles exist. |
| Postconditions | Volunteers approved/assigned; schedules updated. |
| Basic Flow | Admin reviews profiles; approves or assigns; system updates schedule. |
| Alternative Flows | Reject volunteer; request more info. |
| Exception Flows | Assignment conflicts → resolve. |
| Business Rules | Only approved volunteers assigned. |
| Special Requirements | Bulk assignment capability. |
| Assumptions | Volunteer data accurate. |
| Frequency of Use | Medium |

CA-06

| Field | Value |
|---|---|
| Use Case ID | CA-06 |
| Use Case Name | View Transparency Dashboard |
| Primary Actor(s) | Charity Admin; Public (aggregated view) |
| Secondary Actor(s) | Analytics Module |
| Description | Display donation flows, campaign metrics, and aggregated KPIs. |
| Trigger | Admin or public opens dashboard. |
| Preconditions | Analytics data available. |
| Postconditions | Dashboard displayed; detailed reports available to authorized users. |
| Basic Flow | System aggregates data; displays charts and KPIs; link to detailed reports for admins. |
| Alternative Flows | Request detailed report (admins). |
| Exception Flows | Data pipeline error → show stale data notice. |
| Business Rules | Public view must not expose donor-identifying data. |
| Special Requirements | Data refresh SLA; role-based access. |
| Assumptions | Data sources integrated. |
| Frequency of Use | Medium |

CA-08

| Field | Value |
|---|---|
| Use Case ID | CA-08 |
| Use Case Name | Moderate Story Wall Manage Story Wall |
| Primary Actor(s) | Charity Admin |
| Secondary Actor(s) | Web App UI; File Storage |
| Description | Review, approve, edit, or remove public testimonials and stories. |
| Trigger | Admin reviews submitted stories. |
| Preconditions | Story submitted and pending moderation. |
| Postconditions | Story published, edited, or removed. |
| Basic Flow | Admin reviews content; approves or rejects; system updates story wall. |
| Alternative Flows | Edit story before publishing. |
| Exception Flows | Content violates policy → reject and notify submitter. |
| Business Rules | Content must meet community guidelines. |
| Special Requirements | Moderation audit trail. |
| Assumptions | Submitter contact info available. |
| Frequency of Use | Low–Medium |

CA-10

| Field | Value |
|---|---|
| Use Case ID | CA-10 |
| Use Case Name | Create Alerts Emergency Campaigns |
| Primary Actor(s) | Charity Admin |
| Secondary Actor(s) | Notification Service; Web App UI |
| Description | Launch urgent campaigns or alerts and notify subscribers. |
| Trigger | Admin creates emergency campaign or alert. |
| Preconditions | Admin has permission; notification channels configured. |
| Postconditions | Alert/campaign published and notifications sent. |
| Basic Flow | Admin composes alert; system publishes campaign; Notification Service sends alerts to subscribers. |
| Alternative Flows | Targeted alerts to specific donor segments. |
| Exception Flows | Notification throttling or failure → queue and retry. |
| Business Rules | Emergency communications must follow opt‑in preferences. |
| Special Requirements | High throughput for notifications; rate limiting. |
| Assumptions | Subscriber lists available. |
| Frequency of Use | Low (ad hoc) |

SA-01

| Field | Value |
|---|---|
| Use Case ID | SA-01 |
| Use Case Name | Manage Users Roles |
| Primary Actor(s) | System Admin |
